employee_id,full_name,department,job_title,hire_date,termination_date,salary,age,gender,performance_score
66,Eloísa Rocha Torrecilla,Finanzas,Analista Senior,2025-07-01,,36701,37,M,4.4
67,Claudio Martin Gelabert,Ventas,Responsable de Ventas,2021-08-10,,47231,24,M,3.2
68,Luis Miguel Barrera Mir,Operaciones,Coordinador de Operaciones,2022-12-18,,30259,36,F,2.4
69,Amador Tapia Valverde,Ventas,Comercial Junior,2023-03-28,,25492,26,M,4.3
70,Camila Barberá,Operaciones,Responsable de Operaciones,2023-03-30,,39554,56,M,3.8
71,Anita Estevez,RRHH,Técnico de RRHH,2025-12-02,,25514,33,M,3.6
72,Manuel Bayo Gutierrez,Ventas,Responsable de Ventas,2023-06-09,,44412,42,M,3.5
73,Azeneth Hoz Ariño,Tecnología,Responsable de Tecnología,2021-08-25,,49566,58,F,4.1
74,Anita Hortensia Yáñez Molina,Operaciones,Responsable de Operaciones,2023-06-13,2025-10-30,39375,56,F,4.0
75,Cristian Miralles-Gómez,Operaciones,Técnico de Operaciones,2026-04-28,,24465,43,M,2.8
76,Hector Castro-Marín,Tecnología,Desarrollador Junior,2025-01-14,,29963,54,M,3.7
77,Estela Belmonte Agustí,Tecnología,Desarrollador Senior,2023-04-05,,40370,57,F,4.7
78,María Ángeles Cabo Beltrán,Operaciones,Responsable de Operaciones,2026-04-10,,40591,33,M,2.9
79,Clotilde del Cazorla,Atención al Cliente,Agente de Soporte,2022-09-15,2023-03-14,20456,49,M,4.0
80,Vera Bayona Hidalgo,Atención al Cliente,Agente Senior,2024-10-15,2025-08-11,26008,52,F,4.4
81,Elodia Cruz Ríos,Tecnología,Desarrollador Senior,2023-11-22,,38558,43,F,5.0
82,Ofelia del Ángel,Finanzas,Analista Financiero,2024-10-09,,28625,34,F,2.8
83,Nazario Marí Calleja,Ventas,Comercial Junior,2023-09-01,,23607,26,M,3.7
84,Eligio Carlos Campo,Atención al Cliente,Responsable de Atención al Cliente,2024-03-24,2025-01-18,36952,46,M,3.3
85,Calixta del Luján,Atención al Cliente,Agente de Soporte,2024-09-05,,21493,28,M,3.1
86,Clementina Paca Novoa Frutos,Operaciones,Responsable de Operaciones,2023-11-27,,42295,57,F,4.1
87,José Antonio Torres-Iglesias,Marketing,Especialista de Marketing,2023-07-24,2024-04-19,25678,51,M,2.5
88,Arturo Roda Lloret,RRHH,Especialista de RRHH,2024-06-08,,31702,54,M,3.7
89,Abel Múgica Castrillo,Marketing,Responsable de Marketing,2023-07-03,,41174,52,M,3.5
90,Cecilio Sala-Roma,Operaciones,Técnico de Operaciones,2025-09-17,,23548,55,M,2.6
91,Adelia de Benet,Tecnología,Desarrollador Senior,2023-06-20,2024-10-12,39934,40,F,2.7
92,Leandro Araujo Peiró,Operaciones,Coordinador de Operaciones,2026-01-03,,32112,30,F,4.0
93,Mamen Colomer-Ropero,Operaciones,Responsable de Operaciones,2021-11-09,,39993,26,M,3.6
94,Alfonso Mendez Pastor,Atención al Cliente,Responsable de Atención al Cliente,2023-08-13,,36342,35,M,3.4
95,Vinicio Pallarès Gallo,Atención al Cliente,Responsable de Atención al Cliente,2026-04-22,,37162,58,M,4.4
96,Nazario de Otero,Atención al Cliente,Agente Senior,2022-09-04,,26004,48,F,4.3
97,Verónica del Cortes,Atención al Cliente,Agente Senior,2023-06-12,,26658,46,M,3.6
98,Toni de Elorza,Tecnología,Desarrollador Senior,2025-01-23,,39293,51,F,2.6
99,Aitana Escobar Márquez,RRHH,Responsable de RRHH,2021-02-25,,39248,59,F,3.5
100,Rosario Hurtado Lasa,Ventas,Comercial Senior,2021-10-05,,30858,33,F,3.4
101,Rufino Campoy Piñeiro,Operaciones,Coordinador de Operaciones,2022-03-10,,29876,43,M,2.1
102,Timoteo Sosa Girón,Operaciones,Coordinador de Operaciones,2022-06-01,,30916,52,F,3.1
103,Sebastian Seguí,Finanzas,Analista Financiero,2026-05-04,,28080,26,F,2.8
104,Encarnación Goñi Gisbert,Finanzas,Analista Financiero,2022-02-13,,27665,31,F,4.5
105,Narciso Ferrando Pujadas,Ventas,Responsable de Ventas,2021-08-23,,43214,35,M,3.8
106,Eligia Baños Lorenzo,Tecnología,Desarrollador Senior,2021-12-10,,36881,29,F,5.0
107,Miguela Vergara Pulido,RRHH,Técnico de RRHH,2024-03-31,,22812,41,M,3.5
108,Eusebia de Carlos,Atención al Cliente,Responsable de Atención al Cliente,2022-02-11,2022-09-09,37136,37,F,2.9
109,Chuy Lara-Arenas,Tecnología,Desarrollador Senior,2025-10-08,,41768,29,F,3.2
110,Marc Rovira Ojeda,Operaciones,Coordinador de Operaciones,2024-09-16,,30129,54,M,3.6
111,Isa Vidal Carlos,Ventas,Comercial Senior,2025-08-12,,29850,49,M,4.1
112,Ximena Falcón Iñiguez,Tecnología,Desarrollador Senior,2024-12-19,,41110,33,M,3.7
113,Paulino Rubio Abellán,Tecnología,Responsable de Tecnología,2025-05-06,,55302,49,M,2.5
114,Ángela Figueras,Operaciones,Técnico de Operaciones,2025-08-29,,25036,39,M,2.9
115,Irene Becerra Murillo,Operaciones,Coordinador de Operaciones,2024-03-13,,29006,46,M,3.2
116,Estefanía Narcisa Casanovas Mas,Ventas,Comercial Senior,2022-01-08,,34496,44,M,3.4
117,Esmeralda Real,Operaciones,Responsable de Operaciones,2024-12-07,,39445,57,F,2.5
118,Graciana Marqués Castejón,Atención al Cliente,Agente de Soporte,2021-06-25,2022-05-21,22088,48,M,2.4
119,Humberto Pinilla,Atención al Cliente,Agente de Soporte,2024-11-15,,20706,53,M,3.5
120,Mario Mascaró Ramis,Finanzas,Analista Financiero,2022-08-26,,29441,37,M,2.4
121,Serafina de Mateu,Tecnología,Desarrollador Senior,2023-08-28,,40938,44,M,3.4
122,Cruz Ildefonso Montserrat Sola,RRHH,Responsable de RRHH,2022-11-09,,40027,51,M,3.7
123,Isaura García Vicente,Operaciones,Técnico de Operaciones,2021-09-05,,23665,42,F,3.0
124,Rosalina Doménech Blazquez,Finanzas,Responsable Financiero,2022-01-15,,48139,52,M,3.1
125,José Ángel Natanael Naranjo Bueno,Finanzas,Responsable Financiero,2024-05-07,,48227,28,F,3.9
126,Nicodemo del Gomila,Operaciones,Coordinador de Operaciones,2022-01-03,,32350,56,F,2.5
127,Candelario Amat,Operaciones,Técnico de Operaciones,2024-02-08,,25277,30,M,2.0
128,Donato Talavera Beltran,Ventas,Comercial Junior,2024-03-21,,24373,52,M,3.8
129,Herminia Ferreras Plana,Operaciones,Técnico de Operaciones,2022-06-02,,23734,52,F,3.0
130,Gloria Hervás Coloma,Marketing,Marketing Senior,2023-10-05,2024-07-31,31924,25,F,3.0
131,Victoriano Campillo Rodríguez,Ventas,Responsable de Ventas,2026-04-28,,42407,37,F,4.1
132,Chus del Ayllón,Atención al Cliente,Agente Senior,2024-05-26,,26968,36,M,3.7
133,Diana de Sastre,Atención al Cliente,Agente Senior,2022-09-01,,26387,49,M,3.0
134,Salvador Sobrino Molins,Atención al Cliente,Agente de Soporte,2024-06-02,,21584,28,F,3.8
135,María José Vargas Roldan,Tecnología,Desarrollador Senior,2024-09-14,2025-04-12,38965,37,F,3.5
136,Itziar de Taboada,Atención al Cliente,Agente de Soporte,2021-01-06,,21851,60,M,3.0
137,Dora Huertas Lluch,Operaciones,Técnico de Operaciones,2022-08-14,,23955,51,F,3.3
138,Julieta Haro,Tecnología,Desarrollador Senior,2025-06-02,,38637,59,F,4.2
139,Isidro Berenguer-Macias,Atención al Cliente,Responsable de Atención al Cliente,2022-04-06,,37100,39,F,4.0
140,Elías del Montenegro,Ventas,Comercial Junior,2025-06-12,,25587,58,M,3.4
141,Anita de Contreras,Atención al Cliente,Agente Senior,2024-11-11,2026-06-04,25793,47,M,3.2
142,Gregorio de Gargallo,Atención al Cliente,Agente Senior,2023-06-16,2024-01-12,26064,24,M,3.8
143,Hipólito Ramón Muro,Finanzas,Responsable Financiero,2022-05-28,2022-11-24,52184,36,F,4.2
144,Josefa del Barrios,RRHH,Responsable de RRHH,2025-08-10,,39705,24,F,3.9
145,Sigfrido Rivera,Atención al Cliente,Responsable de Atención al Cliente,2023-06-25,,36889,33,M,2.9
146,Yolanda Aller Pintor,Tecnología,Desarrollador Senior,2026-06-08,,40625,44,M,3.3
147,Adelaida Ortiz Martín,Operaciones,Responsable de Operaciones,2021-08-03,,39624,43,M,3.2
148,Tamara Rius Giménez,Tecnología,Desarrollador Senior,2024-09-18,,39688,57,F,3.0
149,Constanza Llamas Ruano,Atención al Cliente,Agente Senior,2022-06-01,,25451,47,F,3.6
150,Albina Porcel Navarrete,Tecnología,Responsable de Tecnología,2023-08-05,,52489,34,M,3.0
151,Paloma Dalmau Solsona,Tecnología,Desarrollador Senior,2024-07-04,,38214,25,F,3.6
152,María Amores Prada,Operaciones,Técnico de Operaciones,2026-03-15,,22293,53,F,2.4
153,Marcela Amores-Blanes,Ventas,Responsable de Ventas,2024-05-31,,41802,32,M,3.3
154,Bernarda Serrano Espada,Atención al Cliente,Responsable de Atención al Cliente,2023-04-16,2024-07-09,37967,29,M,3.2
155,Eladio Pinilla Morán,RRHH,Responsable de RRHH,2025-09-01,,41493,40,M,2.9
156,Javi Morillo,Atención al Cliente,Agente Senior,2026-07-01,,25967,51,F,4.3
157,Pía Pinilla Lobo,Atención al Cliente,Responsable de Atención al Cliente,2023-11-07,,37027,30,F,3.7
158,Dolores Bilbao Sosa,Operaciones,Coordinador de Operaciones,2022-11-28,,30603,54,M,2.4
159,Reinaldo Azorin Olmo,Marketing,Marketing Senior,2025-01-26,,31515,59,M,3.2
160,Moreno de Arjona,Marketing,Marketing Senior,2024-01-09,,33033,43,M,3.4
161,Duilio Flores Almagro,Atención al Cliente,Agente Senior,2025-11-16,,26065,37,M,2.9
162,Calista Dafne Cases Sáenz,Operaciones,Coordinador de Operaciones,2021-03-31,,30528,52,M,3.7
163,Lope Gibert Sola,Atención al Cliente,Responsable de Atención al Cliente,2025-06-11,,37934,31,M,4.1
164,Rodolfo Peinado-Diez,RRHH,Técnico de RRHH,2023-10-26,,26294,43,F,2.9
165,María Dolores Piedad Carbó Céspedes,Marketing,Marketing Senior,2021-07-24,,33517,51,F,3.5
166,Baltasar Luis Miguel Amigó Mesa,Finanzas,Analista Senior,2025-11-19,,38919,31,F,2.8
167,Nicolasa Perez-Puente,Atención al Cliente,Agente Senior,2022-11-25,,25440,47,F,3.0
168,Anselmo Herrero,Marketing,Responsable de Marketing,2025-10-26,,39314,42,M,3.0
169,Pablo Mata Carrillo,Marketing,Especialista de Marketing,2024-06-18,2025-01-14,25625,40,F,2.1
170,Ricarda Armengol-Olivera,Finanzas,Analista Senior,2026-06-27,,34802,28,M,3.7
171,Inés del Bayón,Ventas,Comercial Senior,2026-01-25,2026-05-25,34441,42,F,3.3
172,Miriam Nogueira,Operaciones,Coordinador de Operaciones,2023-06-02,2024-03-28,28501,55,M,4.3
173,Teobaldo Rivera Trillo,Atención al Cliente,Agente de Soporte,2021-12-15,2022-11-10,21825,46,F,3.3
174,Inocencio Paredes Segura,Atención al Cliente,Responsable de Atención al Cliente,2021-10-21,2022-10-16,36006,38,M,3.4
175,Isaac Echeverría Vélez,Operaciones,Técnico de Operaciones,2026-01-15,,23124,40,F,3.8
176,Mario Tomás-Sola,Ventas,Comercial Senior,2024-04-18,,30576,49,M,3.3
177,Sara Ledesma Mora,Atención al Cliente,Agente Senior,2022-02-12,,26080,52,F,3.8
178,Severo de Lorenzo,Operaciones,Responsable de Operaciones,2023-01-06,,42186,40,F,2.6
179,Daniela Sobrino Pinilla,RRHH,Responsable de RRHH,2023-03-22,,39198,58,F,4.3
180,Albina Urrutia Morcillo,Marketing,Responsable de Marketing,2023-10-15,,42998,40,F,2.9
181,Jose Francisco Garay Pacheco,Tecnología,Desarrollador Senior,2022-03-25,,41585,38,F,3.5
182,Francisco Losa-Llorente,Tecnología,Responsable de Tecnología,2024-08-16,,52135,50,F,4.1
183,Adelina de Boada,Atención al Cliente,Responsable de Atención al Cliente,2021-09-27,2022-11-21,36860,40,M,4.4
184,Plácido del Torres,Finanzas,Analista Financiero,2022-02-16,,27035,56,M,3.9
185,Purificación de Tamayo,Atención al Cliente,Agente Senior,2025-08-28,,24827,52,M,4.0
186,Jacinta Alemany Buendía,Finanzas,Analista Senior,2025-07-06,,35817,26,F,3.5
187,Dan Hermenegildo Hervia Medina,Finanzas,Analista Financiero,2025-10-28,,25829,47,M,3.1
188,Flor Sáenz-Núñez,Ventas,Comercial Senior,2021-01-29,,33779,29,M,4.1
189,Petrona Muro Ortiz,Operaciones,Responsable de Operaciones,2024-10-08,,41551,46,M,3.4
190,Elba Medina Iglesias,Ventas,Comercial Junior,2023-08-24,2025-05-15,24820,57,M,3.4
191,Benito de Moles,Marketing,Especialista de Marketing,2024-08-19,2024-10-18,25425,51,M,3.3
192,Ramiro Esteve Feliu,Tecnología,Desarrollador Junior,2021-10-14,2022-09-09,29366,24,M,2.7
193,Rafael Tomé,RRHH,Técnico de RRHH,2021-07-19,,24071,56,F,2.7
194,Porfirio Zamorano-Luna,Atención al Cliente,Agente Senior,2024-10-05,,25958,56,M,4.1
195,Sigfrido Ferrera Marti,Atención al Cliente,Responsable de Atención al Cliente,2021-11-13,,34685,28,M,3.8
196,Geraldo de Mate,Tecnología,Desarrollador Senior,2021-03-09,,38116,35,M,2.8
197,Paulino Castañeda Lledó,Atención al Cliente,Agente de Soporte,2025-10-18,,20928,45,M,2.7
198,Amando Manzano Cases,Ventas,Comercial Senior,2022-01-24,,31261,51,F,2.6
199,Aroa Alberola Luís,Tecnología,Responsable de Tecnología,2024-08-02,,55929,23,F,3.4
200,Julia Saez Niño,Finanzas,Analista Financiero,2021-09-15,,27300,35,F,3.5
201,Amancio Iriarte Tejedor,Marketing,Responsable de Marketing,2022-03-01,,42331,36,M,3.2
202,Segismundo Bas Pérez,Finanzas,Responsable Financiero,2021-01-06,,49228,31,F,3.9
203,Angelina Baeza Cordero,Atención al Cliente,Agente de Soporte,2021-08-14,,20646,23,F,3.0
204,Santiago Mateu Blázquez,Ventas,Comercial Junior,2024-04-20,,24270,33,M,1.8
205,Benigno del Gonzalez,Ventas,Responsable de Ventas,2023-05-13,,40474,26,M,4.4
206,Fortunata Sanjuan,Atención al Cliente,Agente Senior,2023-11-18,,27096,50,F,3.2
207,Emma Romeu Mayoral,RRHH,Técnico de RRHH,2025-01-29,,24980,55,M,3.6
208,María Teresa Barrena-Cabezas,Atención al Cliente,Agente de Soporte,2021-05-05,,23052,47,M,4.2
209,Matías Galván,Tecnología,Desarrollador Senior,2024-12-29,,38786,26,F,2.7
210,Natalio Bertrán-Crespo,Operaciones,Técnico de Operaciones,2021-05-15,2021-08-13,23669,59,M,3.3
211,Chema de Crespi,Atención al Cliente,Responsable de Atención al Cliente,2023-12-23,2024-12-17,35137,54,M,2.6
212,Hernando Sanjuan Soriano,Ventas,Responsable de Ventas,2021-08-23,,45811,57,F,4.0
213,Alcides David Maldonado Luna,Atención al Cliente,Agente de Soporte,2023-04-28,,20994,51,M,4.4
214,Andrea Guillen Lamas,Atención al Cliente,Agente de Soporte,2022-10-03,,21051,38,M,2.8
215,Nadia Figuerola-Rodríguez,RRHH,Responsable de RRHH,2026-03-06,,43784,27,F,3.8
216,Lalo Gomila Company,Ventas,Comercial Junior,2025-03-05,,23635,30,F,3.3
217,Severiano Cisneros-Bellido,Atención al Cliente,Responsable de Atención al Cliente,2024-02-25,,34832,29,M,2.4
218,Celestino Meléndez Malo,Operaciones,Responsable de Operaciones,2026-04-12,,42543,25,M,4.7
219,Beatriz Solís Mateu,Tecnología,Desarrollador Senior,2021-08-01,,36669,35,F,3.8
220,Elena Vall Uribe,Tecnología,Desarrollador Junior,2025-10-02,,28349,57,M,3.1
221,Anita Ariño Rosales,Ventas,Comercial Senior,2024-03-21,2024-11-16,30848,49,F,1.6
222,María Del Carmen Ibáñez Amigó,Tecnología,Responsable de Tecnología,2025-08-26,,53369,23,F,3.7
223,Darío Almansa Leon,Operaciones,Coordinador de Operaciones,2026-03-03,,30400,22,F,3.6
224,Almudena Díez-Sosa,Marketing,Responsable de Marketing,2024-09-08,,42910,31,F,2.9
225,Modesta Salamanca,Ventas,Responsable de Ventas,2022-03-17,,42112,51,M,3.8
226,Cipriano Ruano-Téllez,Ventas,Comercial Senior,2025-01-17,,32276,58,F,4.8
227,Joel Oliveras Real,Marketing,Especialista de Marketing,2021-11-19,,26849,25,F,4.1
228,Estrella Calvo Cuevas,Operaciones,Responsable de Operaciones,2023-05-19,,39730,50,M,3.0
229,Guiomar Valbuena Maldonado,Operaciones,Responsable de Operaciones,2021-08-22,,39329,29,M,3.6
230,Ruth Arco Sanz,Tecnología,Responsable de Tecnología,2023-09-24,,46518,41,F,3.1
231,Fausto Iniesta Morales,Operaciones,Responsable de Operaciones,2021-04-23,2022-02-17,42064,41,F,2.2
232,Rolando Quintero Vilar,Finanzas,Analista Senior,2022-08-16,,35911,22,M,2.6
233,Nando Sevilla Reyes,Finanzas,Analista Financiero,2021-09-22,,27348,36,M,3.4
234,Ciríaco Villegas Pardo,Ventas,Responsable de Ventas,2021-03-28,,41565,51,F,3.1
235,Prudencia Leticia Salamanca Aznar,Marketing,Responsable de Marketing,2023-05-30,,44009,48,M,3.0
236,Eliseo Castro,Ventas,Comercial Junior,2026-06-02,,25196,51,M,2.6
237,Isidoro Valerio Tormo Carrión,Ventas,Comercial Junior,2022-05-14,,24941,47,F,4.4
238,Maxi Heras Cuadrado,Atención al Cliente,Agente Senior,2025-03-08,,24352,43,F,2.8
239,Leoncio Adrián Raya Buendía,Ventas,Responsable de Ventas,2021-08-22,,43961,34,M,3.3
240,Sosimo de Serrano,Operaciones,Responsable de Operaciones,2025-07-28,,39993,28,F,3.7
241,Moisés Correa Valentín,Operaciones,Técnico de Operaciones,2024-05-18,,23781,26,F,3.1
242,José Manuel Patricio Llano Ribes,RRHH,Responsable de RRHH,2023-10-09,,40768,58,M,3.1
243,Jovita Hervás Saura,Tecnología,Responsable de Tecnología,2024-08-09,,52788,42,M,3.1
244,Blanca del Farré,Ventas,Comercial Junior,2023-08-19,,24741,41,M,4.9
245,Liliana Piedad Cerezo Baños,Atención al Cliente,Agente Senior,2023-11-06,2025-08-27,25782,51,M,3.2
246,Rolando Ribera-Nieto,Ventas,Comercial Senior,2025-08-31,,33734,27,M,2.9
247,Débora Acedo,Atención al Cliente,Responsable de Atención al Cliente,2026-05-09,,33026,24,M,4.1
248,Primitivo Eustaquio Tovar Comas,Marketing,Responsable de Marketing,2024-08-27,,41234,60,M,2.3
249,Lupita Tomé Ochoa,Atención al Cliente,Agente de Soporte,2023-07-12,2024-07-06,21552,43,F,1.9
250,Mamen Pi Sarabia,Atención al Cliente,Agente de Soporte,2021-03-22,2022-05-16,21513,50,M,3.5
251,Tomasa Fabregat Haro,Atención al Cliente,Responsable de Atención al Cliente,2021-11-22,,36758,40,M,2.8
252,Fátima Guillen-Reig,Atención al Cliente,Agente Senior,2024-10-22,,25733,43,F,3.8
253,Federico Suárez Piquer,Operaciones,Responsable de Operaciones,2024-10-21,,43078,38,F,4.1
254,Narcisa Cornejo Valbuena,Operaciones,Responsable de Operaciones,2024-09-21,2025-10-16,40234,44,M,2.8
255,Bernardino Vallés Mármol,RRHH,Responsable de RRHH,2024-09-18,,42745,60,F,2.8
256,Ulises Sacristán Cabo,Operaciones,Coordinador de Operaciones,2024-08-10,,30583,30,F,3.1
257,Zaida Saura,Tecnología,Desarrollador Senior,2023-11-08,,39798,45,M,3.6
258,Poncio Cobos Redondo,Operaciones,Técnico de Operaciones,2022-12-01,,24364,53,F,3.0
259,Anselmo Soria Landa,Operaciones,Técnico de Operaciones,2021-11-14,2022-09-10,22684,28,F,3.1
260,Matilde Puga Bernat,Tecnología,Responsable de Tecnología,2021-09-26,,50894,31,F,4.1
261,Tamara Pinto Moliner,Operaciones,Responsable de Operaciones,2025-04-29,,42622,32,M,4.4
262,Trini Araujo Bayona,Ventas,Comercial Senior,2024-10-17,,33344,50,M,2.3
263,Maximiano del Gordillo,Finanzas,Analista Senior,2022-04-25,,36374,41,M,2.7
264,Isaac Cabello Cabrera,Marketing,Especialista de Marketing,2023-01-24,,25072,58,M,3.5
265,Carina Marí Andres,Atención al Cliente,Agente Senior,2025-05-13,,26557,55,M,2.8
266,Fermín Barba Marcos,RRHH,Técnico de RRHH,2025-06-29,,22562,38,F,3.5
267,Florentina Rosa Coello,Tecnología,Desarrollador Senior,2024-02-10,,43405,55,F,3.3
268,Juan Manuel del Escolano,Operaciones,Técnico de Operaciones,2022-07-13,,23539,54,F,4.6
269,Chucho Bermúdez Piñeiro,Marketing,Especialista de Marketing,2026-04-23,,25991,50,M,3.6
270,Nilda Dalila Valenciano Clemente,RRHH,Especialista de RRHH,2021-04-20,,32015,45,F,3.6
271,Jerónimo del Segura,Atención al Cliente,Agente de Soporte,2023-02-07,2023-07-07,22062,42,F,3.0
272,Nazario Agustí-Sola,Marketing,Responsable de Marketing,2022-11-18,,41015,30,F,3.3
273,Nilo Leandro Cruz Benavent,Operaciones,Coordinador de Operaciones,2024-11-26,,30565,52,M,4.2
